k,frobenius_error,relative_frobenius_error,storage_ratio,retained_energy
5,7205.3198676979555,0.27499922120936027,0.06502057613168724,0.9243754283342454
10,5517.143279896144,0.21056804321396938,0.13004115226337448,0.95566109917704
20,4075.858967562632,0.15555978949162416,0.26008230452674896,0.9758011518933215
40,2542.980350387303,0.09705573503298767,0.5201646090534979,0.9905801842972064
80,988.1295112707619,0.03771308575371582,1.0403292181069959,0.998577723162933
120,216.91562709885673,0.008278831421176566,1.5604938271604938,0.9999314609502997
